num_attacks,hour
305,0
293,1
367,2
213,3
196,4
163,5
159,6
140,7
146,8
222,9
199,10
252,11
224,12
220,13
269,14
299,15
263,16
273,17
227,18
322,19
249,20
315,21
395,22
488,23
