num_attacks,hour
354,0
386,1
442,2
358,3
368,4
269,5
272,6
205,7
231,8
314,9
296,10
266,11
309,12
255,13
319,14
383,15
372,16
349,17
378,18
401,19
363,20
430,21
362,22
357,23
