num_attacks,hour
340,0
282,1
176,2
292,3
264,4
284,5
250,6
133,7
153,8
212,9
190,10
186,11
239,12
226,13
279,14
312,15
303,16
314,17
339,18
324,19
292,20
383,21
300,22
313,23
