num_attacks,hour
356,0
365,1
302,2
350,3
254,4
304,5
313,6
221,7
233,8
175,9
186,10
154,11
227,12
253,13
301,14
253,15
287,16
322,17
402,18
413,19
441,20
450,21
337,22
364,23
