num_attacks,hour
377,0
279,1
220,2
209,3
229,4
235,5
188,6
165,7
171,8
162,9
217,10
323,11
300,12
242,13
249,14
365,15
305,16
257,17
270,18
344,19
376,20
474,21
439,22
395,23
