num_attacks,hour
427,0
495,1
178,2
194,3
139,4
113,5
163,6
108,7
121,8
181,9
245,10
227,11
258,12
247,13
291,14
299,15
343,16
233,17
381,18
341,19
335,20
404,21
354,22
380,23
