num_attacks,hour
447,0
310,1
264,2
346,3
329,4
229,5
201,6
131,7
192,8
217,9
254,10
278,11
305,12
298,13
269,14
397,15
384,16
350,17
377,18
406,19
428,20
440,21
466,22
391,23
